,Year,Month,Kansas Unemployment (%),Kansas Total Unemployment,Missouri Unemployment (%),Missouri Total Unemployment
0,2019,Jan,3.3,48498.0,3.2,99182.0
1,2019,Feb,3.3,48205.0,3.2,99538.0
2,2019,Mar,3.2,47717.0,3.2,98968.0
3,2019,Apr,3.2,47113.0,3.2,97761.0
4,2019,May,3.1,46483.0,3.1,96429.0
5,2019,Jun,3.1,46031.0,3.1,95941.0
6,2019,Jul,3.1,45920.0,3.2,97205.0
7,2019,Aug,3.1,46081.0,3.2,99739.0
8,2019,Sep,3.1,46421.0,3.3,102824.0
9,2019,Oct,3.1,46780.0,3.4,105657.0
10,2019,Nov,3.1,46906.0,3.4,106453.0
11,2019,Dec,3.1,46922.0,3.4,106372.0
12,2020,Jan,3.1,46871.0,3.5,110281.0
13,2020,Feb,3.1,46789.0,3.5,109616.0
14,2020,Mar,2.8,42644.0,3.9,121587.0
15,2020,Apr,11.9,179494.0,10.2,308494.0
16,2020,May,10.0,151293.0,10.1,303647.0
17,2020,Jun,7.5,110813.0,7.8,236203.0
18,2020,Jul,7.2,106798.0,6.9,211177.0
